출발지,도착지,거리 (km)
공학1관_앞_4,보의관_조형4,0.14656255851567787
공학1관_앞_4,보의관_조형5,0.13924074511644263
공학1관_앞_4,보의관_조형6,0.13226755016117245
공학1관_앞_4,보의관_조형7,0.12570100580654264
공학1관_앞_4,보의관_조형8,0.11960810731040795
공학1관_앞_4,보의관_조형9,0.1140647814805516
공학1관_앞_4,인사관_조형학관,0.2072442377078223
공학1관_앞_4,멀베리1,0.25177649423036347
공학1관_앞_4,멀베리2,0.24274112395369493
공학1관_앞_4,멀베리3,0.23389385228845588
공학1관_앞_4,멀베리4,0.21612313181707984
공학1관_앞_4,인사관_디정관23,0.22525684419594422
공학1관_앞_4,멀베리_삼거리,0.26098042710755004
공학1관_앞_4,기숙사_오르막길,0.27712642463562936
공학1관_앞_4,기숙사_오르막길1,0.27553344285945786
공학1관_앞_4,제2엘림생활관,0.2582340280432783
공학1관_앞_4,2관_입구,0.2668699194859475
공학1관_앞_4,기숙사_오르막길2,0.2761869613267592
공학1관_앞_4,기숙사_오르막길3,0.2755151856474014
공학1관_앞_4,기숙사_오르막길4,0.2751130587190323
공학1관_앞_4,기숙사_오르막길5,0.2749817637136042
공학1관_앞_4,기숙사_오르막길6,0.27512168855399627
공학1관_앞_4,기숙사_오르막길_멀베리1,0.2728029911047647
공학1관_앞_4,기숙사_오르막길_멀베리2,0.26866503114626933
공학1관_앞_4,기숙사_오르막길_멀베리3,0.26472124230069816
본관_상경 삼거리,공학1관_앞_0,0.03324643898285645
본관_상경 삼거리,공학1관_앞,0.03169328350946962
본관_상경 삼거리,공학1관_앞_1,0.006338656458733552
본관_상경 삼거리,공학1관_앞_2,0.01267731303882847
본관_상경 삼거리,공학1관_앞_3,0.019015969739939954
본관_상경 삼거리,공학1관_앞_4,0.025354626562778752
본관_상경 삼거리,본관_상경_삼거리2,0.018285584165691187
본관_상경 삼거리,농구장_상경11,0.012190755425333275
본관_상경 삼거리,농구장_상경12,0.006095926648495046
본관_상경 삼거리,농구장_상경_보의관1,0.04528658739139944
본관_상경 삼거리,농구장_상경_보의관2,0.038020711146898624
본관_상경 삼거리,농구장_상경_보의관3,0.031165251529795195
본관_상경 삼거리,농구장_상경_보의관4,0.025059336576882325
본관_상경 삼거리,농구장_상경_보의관5,0.020387910330179997
본관_상경 삼거리,상경_보의관1,0.05279369655784169
본관_상경 삼거리,상경_보의관2,0.05664560606699375
본관_상경 삼거리,상경_보의관3,0.06153188918393173
본관_상경 삼거리,상경_보의관4,0.0672273789979902
본관_상경 삼거리,상경_보의관5,0.07354431303244892
본관_상경 삼거리,상경_보의관6,0.08033623003120095
본관_상경 삼거리,상경_보의관_삼거리,0.08749388386954388
본관_상경 삼거리,보의관_조형_흡연구역1,0.16620779929892962
본관_상경 삼거리,보의관_조형_흡연구역1_1,0.18516215035161807
본관_상경 삼거리,보의관_조형_흡연구역1_2,0.17989458320438173
본관_상경 삼거리,보의관_조형_흡연구역1_3,0.174960212265697
본관_상경 삼거리,보의관_조형_흡연구역1_4,0.17038798773724628
본관_상경 삼거리,보의관_조형1,0.15726130781473954
본관_상경 삼거리,보의관_조형2,0.1484470356326529
본관_상경 삼거리,보의관_조형3,0.13978999618703855
본관_상경 삼거리,보의관_조형4,0.13132128921870112
본관_상경 삼거리,보의관_조형5,0.12307979695484754
본관_상경 삼거리,보의관_조형6,0.11511433191544472
본관_상경 삼거리,보의관_조형7,0.10748627871018077
본관_상경 삼거리,보의관_조형8,0.10027267146135287
본관_상경 삼거리,보의관_조형9,0.09356941345401075
본관_상경 삼거리,인사관_조형학관,0.1907353098715959
본관_상경 삼거리,멀베리1,0.23835985183552755
본관_상경 삼거리,멀베리2,0.22877175686774243
본관_상경 삼거리,멀베리3,0.21933728460778873
본관_상경 삼거리,멀베리4,0.2002997225712356
본관_상경 삼거리,인사관_디정관23,0.21007713386801624
본관_상경 삼거리,멀베리_삼거리,0.24808375788733827
본관_상경 삼거리,기숙사_오르막길,0.2666399439475304
본관_상경 삼거리,기숙사_오르막길1,0.2696113480420711
본관_상경 삼거리,제2엘림생활관,0.25188103980748505
본관_상경 삼거리,2관_입구,0.26073928950739994
본관_상경 삼거리,기숙사_오르막길2,0.2664382854989065
본관_상경 삼거리,기숙사_오르막길3,0.2665165243427999
본관_상경 삼거리,기숙사_오르막길4,0.2668744144957514
본관_상경 삼거리,기숙사_오르막길5,0.2675108337572426
본관_상경 삼거리,기숙사_오르막길6,0.268423801177794
본관_상경 삼거리,기숙사_오르막길_멀베리1,0.2617317666431582
본관_상경 삼거리,기숙사_오르막길_멀베리2,0.2569964700274495
본관_상경 삼거리,기숙사_오르막길_멀베리3,0.2524437826485848
본관_상경_삼거리2,공학1관_앞_0,0.050922587032716404
본관_상경_삼거리2,공학1관_앞,0.049963556409603406
본관_상경_삼거리2,공학1관_앞_1,0.024618025594460732
본관_상경_삼거리2,공학1관_앞_2,0.0309530114138397
본관_상경_삼거리2,공학1관_앞_3,0.03728924492533744
본관_상경_삼거리2,공학1관_앞_4,0.043626182543863364
본관_상경_삼거리2,본관_상경 삼거리,0.018285584165691187
본관_상경_삼거리2,농구장_상경11,0.006094828740695305
본관_상경_삼거리2,농구장_상경12,0.012189657518945208
본관_상경_삼거리2,농구장_상경_보의관1,0.04046585461202304
본관_상경_삼거리2,농구장_상경_보의관2,0.03237268663213185
본관_상경_삼거리2,농구장_상경_보의관3,0.02427951717981336
본관_상경_삼거리2,농구장_상경_보의관4,0.0161863462562912
본관_상경_삼거리2,농구장_상경_보의관5,0.008093173863142098
본관_상경_삼거리2,상경_보의관1,0.04855902112532912
본관_상경_삼거리2,상경_보의관2,0.049565948172672236
본관_상경_삼거리2,상경_보의관3,0.05207193404978079
본관_상경_삼거리2,상경_보의관4,0.055875646007117315
본관_상경_삼거리2,상경_보의관5,0.06073374442644931
본관_상경_삼거리2,상경_보의관6,0.06641525422386704
본관_상경_삼거리2,상경_보의관_삼거리,0.07272840182755433
본관_상경_삼거리2,보의관_조형_흡연구역1,0.15843258395123502
본관_상경_삼거리2,보의관_조형_흡연구역1_1,0.17437277157930262
본관_상경_삼거리2,보의관_조형_흡연구역1_2,0.1697694171493832
본관_상경_삼거리2,보의관_조형_흡연구역1_3,0.1655579119197394
본관_상경_삼거리2,보의관_조형_흡연구역1_4,0.1617688631363232
